title,district,company,salary_min,salary_max,demand,company_info,tag,comment
算法工程师(J10259),珠江新城,趣丸,25,50,"
经验不限/硕士",游戏 / 不需要融资 / 500-2000人,"社交
                                                                    推荐算法","“大牛多,平台大,福利好,高薪”"
2021校园招聘-算法工程师-GZ,冼村,深演智能,15,25,"
经验在校/应届/硕士",人工智能服务 / D轮及以上 / 150-500人,"广告营销
                                                                    大数据
                                                                    数仓建模",“技术氛围好；平台好；公司发展快”
深度学习算法工程师,天河区,深声科技,15,30,"
经验不限/本科",人工智能服务 / 天使轮 / 50-150人,深度学习,"“弹性工作,上班不打卡,五险一金,有餐补”"
算法工程师（图像配准）,广州大道南,柏视医疗,15,30,"
经验不限/硕士","医疗丨健康,数据服务 / A轮 / 50-150人","医疗健康
                                                                    医学图像配准
                                                                    CUDA 编程
                                                                    GPU 加速
                                                                    多模态",“团队实力强”
高级推荐算法工程师 (MJ003526),番禺区,欢聚集团（JOYY Inc.）,30,60,"
经验不限/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上","C++
                                                                    Python
                                                                    Java
                                                                    推荐算法",“健身房；餐补；免费咖啡”
数据挖掘工程师 — 游戏,天河区,字节跳动,20,40,"
经验不限/本科","内容资讯,短视频 / D轮及以上 / 2000人以上","扁平管理
                                                                                                                                                弹性工作
                                                                                                                                                就近租房补贴
                                                                                                                                                六险一金",“六险一金”
视频编解码算法工程师 (MJ000711),番禺区,欢聚集团（JOYY Inc.）,30,55,"
经验不限/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",音频算法,“健身房；餐补；免费咖啡”
算法工程师,天河区,卓牛科技,20,35,"
经验不限/本科",工具类产品 / 不需要融资 / 50-150人,"大数据
                                                                    C++
                                                                    Java
                                                                    Python
                                                                    Scala","“上升空间大,行业前景好,团队优秀,成长速度快”"
算法工程师,太和,蓝鸽集团,12,18,"
经验在校/应届/硕士","软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人","数据挖掘
                                                                    自然语言处理
                                                                    机器视觉
                                                                    机器学习",“待遇好，职位晋升空间大”
数据挖掘算法工程师,海珠区,树根互联技术有限公司,25,40,"
经验不限/硕士","物联网,数据服务｜咨询 / C轮 / 150-500人","Hadoop
                                                                    Spark
                                                                    Java
                                                                    Python",“是公司一个较为核心的职位”
视觉算法工程师,天河区,慧择信息集团,20,40,"
经验不限/本科",IT技术服务｜咨询 / 不需要融资 / 500-2000人,"Python
                                                                    TensoFlow
                                                                    深度学习
                                                                    模式识别",“福利好，交通便利”
语音算法工程师,棠下,深声科技,15,30,"
经验不限/硕士",人工智能服务 / 天使轮 / 50-150人,"语音识别
                                                                    算法
                                                                    深度学习
                                                                    人工智能",“核心技术”
数据挖掘算法工程师,登峰,广东智源,8,15,经验不限/硕士,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 50-150人","Oracle
                                                                    数据挖掘","“年度旅游,月度活动,五险一金,绩效奖金”"
深度学习算法工程师,广州大道南,柏视医疗,15,25,"
经验不限/硕士","医疗丨健康,数据服务 / A轮 / 50-150人","深度学习
                                                                    图像算法","“地铁上盖,高成长,五险一金,周末双休”"
机器人算法工程师,南沙区,DMAI智能科技,25,40,"
经验不限/本科","人工智能服务,在线教育 / A轮 / 150-500人","智能硬件
                                                                    人工智能
                                                                    算法
                                                                    深度学习","“股票期权,试用期全薪,技术驱动”"
算法工程师,黄埔区,紫为云（北京）智能科技有限公司,15,25,"
经验1-3年/本科",人工智能服务 / 不需要融资 / 15-50人,"图像算法
                                                                    深度学习
                                                                    图片识别
                                                                    人脸识别",“前沿行业、清华团队、薪资福利好”
算法工程师,越秀区,参数,20,30,"
经验1-3年/硕士",工具类产品 / 不需要融资 / 15-50人,大数据,“双休、五险一金、商业保险、”
算法工程师,岭南,快乐种子,15,30,"
经验3-5年/本科",在线教育 / B轮 / 2000人以上,"大数据
                                                                    教育
                                                                    人工智能
                                                                    机器学习
                                                                    建模",“年度调薪、项目奖金、年终奖金”
高级数据挖掘工程师,白云区,美业颜究院,15,30,"
经验3-5年/本科","数据服务｜咨询,营销服务｜咨询 / B轮 / 50-150人","3年数据分析
                                                                    Hive，Spark
                                                                    掌握SQL
                                                                    ython、R、scala",“双休、奖金、六险一金、年度旅游”
算法工程师,越秀区,参数,20,30,"
经验1-3年/本科",工具类产品 / 不需要融资 / 15-50人,"企业服务
                                                                    大数据
                                                                    深度学习
                                                                    人脸识别
                                                                    目标检测
                                                                    图像算法",“五险一金，定期体检，医疗补充，周末双休”
算法工程师,海珠区,百布,20,30,"
经验3-5年/本科",电商平台 / D轮及以上 / 500-2000人,"深度学习
                                                                    数据挖掘
                                                                    推荐算法
                                                                    算法模型",“技术open，领导nice，氛围轻松”
